n_clusters,linkage,Silhouette,Calinski_Harabasz,Davies_Bouldin,Min_Cluster_Size,Max_Cluster_Size,Cluster_Sizes
2,ward,0.38933863892484005,580.9282013871409,0.9575586467529715,336,974,"(336, 974)"
2,complete,0.9456947792960034,527.2946266631848,0.0368025751633636,1,1309,"(1309, 1)"
2,average,0.9456947792960034,527.2946266631848,0.0368025751633636,1,1309,"(1309, 1)"
2,single,0.9456947792960034,527.2946266631848,0.0368025751633636,1,1309,"(1309, 1)"
3,ward,0.3801592680564111,860.2890590176778,0.6442127964292826,1,974,"(974, 335, 1)"
3,complete,0.37736989140127486,870.1293484057649,0.6473832417012305,1,958,"(351, 1, 958)"
3,average,0.6484915241041684,271.30551543806314,0.18083637691287557,1,1308,"(1308, 1, 1)"
3,single,0.6484915241041684,271.30551543806314,0.18083637691287557,1,1308,"(1308, 1, 1)"
4,ward,0.313614358853044,864.2263516986449,0.7357271161090126,1,857,"(857, 335, 1, 117)"
4,complete,0.37687075920969,594.9554452028641,0.5320335100146732,1,958,"(350, 1, 958, 1)"
4,average,0.6204333364728023,185.43382687146348,0.20649911568828755,1,1307,"(1307, 1, 1, 1)"
4,single,0.6204333364728023,185.43382687146348,0.20649911568828755,1,1307,"(1307, 1, 1, 1)"
5,ward,0.15994190276775339,793.7743749316378,1.0469505272321333,1,556,"(335, 556, 1, 117, 301)"
5,complete,0.37635169013111897,455.8147914445277,0.46599495427366094,1,958,"(958, 1, 349, 1, 1)"
5,average,0.5921518268817735,142.07576501163817,0.22626350594000738,1,1306,"(1306, 1, 1, 1, 1)"
5,single,0.5921518268817735,142.07576501163817,0.22626350594000738,1,1306,"(1306, 1, 1, 1, 1)"
6,ward,0.16688129567872048,747.6951279867319,1.0591125167777995,1,556,"(556, 117, 38, 297, 301, 1)"
6,complete,0.356174806534908,438.1452252685746,0.4728073181720241,1,943,"(349, 1, 943, 1, 1, 15)"
6,average,0.5100486115575256,142.5652709233931,0.29407251306297033,1,1294,"(1294, 1, 12, 1, 1, 1)"
6,single,0.5219395159204698,115.66429131387392,0.24527352255356435,1,1305,"(1305, 1, 1, 1, 1, 1)"
