n_clusters,covariance_type,BIC,AIC,Silhouette,Calinski_Harabasz,Davies_Bouldin,Min_Cluster_Size,Max_Cluster_Size,Cluster_Sizes
2,full,12932.837582242872,12648.059549352136,0.3186983668992228,16.73446724859106,6.063648639127117,186,1124,"(1124, 186)"
2,tied,13688.240062970914,13512.195460820278,0.9456947792960034,527.2946266631848,0.0368025751633636,1,1309,"(1309, 1)"
2,diag,18748.569811084402,18619.12525067952,0.3537440780149432,78.90924191747338,3.1423766543220206,319,991,"(319, 991)"
2,spherical,18701.036316129954,18623.369579887025,0.3639559540142068,72.98157125976437,3.272790020848427,298,1012,"(1012, 298)"
3,full,12825.27370583648,12395.51776529228,0.19863527744091733,283.60625555305955,3.5580802348419183,1,1053,"(256, 1053, 1)"
3,tied,13739.791736327727,13527.502657263723,0.36695244411165223,773.4612717532083,0.637650365340001,1,1033,"(276, 1033, 1)"
3,diag,16148.63245759944,15951.876725784023,0.31619497810800434,183.15343626495,6.46898030417097,76,703,"(703, 76, 531)"
3,spherical,16103.70385049839,15984.614854925901,0.31890407487039035,184.79585206962685,6.322928016711313,77,719,"(719, 77, 514)"
4,full,12898.672626647574,12323.938778449907,0.1322909382469758,270.64806665440176,1.9206129586806098,1,976,"(163, 170, 976, 1)"
4,tied,13624.85357616784,13376.32002019047,0.3337541683646279,460.61387260633717,0.5896340940110492,1,1195,"(43, 71, 1195, 1)"
4,diag,15156.090216174527,14892.023312948571,0.29282496714790074,941.7789792303391,0.8353063912892428,1,667,"(298, 344, 667, 1)"
4,spherical,15104.445371965541,14943.93411706349,0.2927245935616926,945.3686799210888,0.840330829534299,1,663,"(309, 337, 663, 1)"
5,full,12972.40404363144,12252.692287780308,0.09723519749279728,224.6552386949487,3.2188806768575993,1,797,"(797, 32, 1, 250, 230)"
5,tied,13657.985038374612,13373.207005483877,0.2971158467161036,670.3962641839373,0.8319569560956299,1,919,"(919, 48, 1, 39, 303)"
5,diag,14437.569878180948,14106.191803544456,0.25174697523878076,857.0101618015019,0.9717321372376372,1,582,"(421, 1, 175, 582, 131)"
5,spherical,14368.26555989822,14166.332045666608,0.23121271549723343,844.5459369132919,1.0122662159195,1,493,"(493, 233, 438, 145, 1)"
6,full,13018.107214464699,12153.417550960101,0.11189051660164291,360.274734089361,3.604007519561667,1,638,"(170, 24, 638, 1, 308, 169)"
6,tied,13672.31983121594,13351.297321411837,0.23108733643343365,573.3145720532916,0.944405571991198,1,928,"(928, 32, 78, 1, 245, 26)"
6,diag,13984.111808114469,13585.422562067439,0.22026985610226654,752.7681935605211,1.2674332896126508,1,502,"(360, 89, 502, 1, 285, 73)"
6,spherical,13953.395214523864,13710.03944096269,0.22432281053481057,741.9766198154073,1.328895406648366,1,510,"(355, 88, 510, 1, 284, 72)"
